Orçamento 2025/2026,Orçamento 2025/2026,Orçamento 2025/2026,Orçamento 2025/2026,Orçamento 2025/2026,Orçamento 2025/2026,Orçamento 2025/2026,Orçamento 2025/2026,Orçamento 2025/2026,Orçamento 2025/2026,Orçamento 2025/2026,Orçamento 2025/2026,Orçamento 2025/2026,Orçamento 2025/2026,Orçamento 2025/2026,Orçamento 2025/2026,Orçamento 2025/2026,Obs,,,,,,,,,,,,,,,,,,,,,,
Orçamento 2025/2026,Orçamento 2025/2026,Orçamento 2025/2026,Orçamento 2025/2026,Orçamento 2025/2026,Orçamento 2025/2026,Orçamento 2025/2026,Orçamento 2025/2026,Orçamento 2025/2026,Orçamento 2025/2026,Orçamento 2025/2026,Orçamento 2025/2026,Orçamento 2025/2026,Orçamento 2025/2026,Orçamento 2025/2026,Orçamento 2025/2026,Orçamento 2025/2026,,,,,,,ORÇAMENTO BASE ZERO  ACFT SENECA V (PR-PME) /Meridian500,ORÇAMENTO BASE ZERO  ACFT SENECA V (PR-PME) /Meridian500,ORÇAMENTO BASE ZERO  ACFT SENECA V (PR-PME) /Meridian500,ORÇAMENTO BASE ZERO  ACFT SENECA V (PR-PME) /Meridian500,ORÇAMENTO BASE ZERO  ACFT SENECA V (PR-PME) /Meridian500,ORÇAMENTO BASE ZERO  ACFT SENECA V (PR-PME) /Meridian500,ORÇAMENTO BASE ZERO  ACFT SENECA V (PR-PME) /Meridian500,ORÇAMENTO BASE ZERO  ACFT SENECA V (PR-PME) /Meridian500,,,,,,,,,
Orçamento 2025/2026,Orçamento 2025/2026,Orçamento 2025/2026,Orçamento 2025/2026,Orçamento 2025/2026,Orçamento 2025/2026,Orçamento 2025/2026,Orçamento 2025/2026,Orçamento 2025/2026,Orçamento 2025/2026,Orçamento 2025/2026,Orçamento 2025/2026,Orçamento 2025/2026,Orçamento 2025/2026,Orçamento 2025/2026,Orçamento 2025/2026,Orçamento 2025/2026,,,,,,,ITEM,QUANTIDADE,,VALOR ,,,,,,,,,,,,,
,,,out,Nov,Dez,jan,Fev,Mar,Abr,Mai,,Horas,,Total ,Valor unid,Total R$,,,,,,,Seguro reta,1,767.88,,,,,,,,,,,,,,
Aplicação Aerea,Descrição,,Agroservice                                   1º fung soja  5.637                                                2º fung soja 5.637                                               3º fung  soja 5.637                                        4º Fung soja 5.637   5°micro/ins                                      1º ins milho 3.678                                      2º ins milho 3.678                                  3º ins milho 3.678                                         4º fun milho 3.678                                 5º fun milho 3.678   6º ins milho 3.678      7° ins milho       8°ins  milho            Agroinvest= 5000 ha ,Agroservice                                   1º fung soja  5.637                                                2º fung soja 5.637                                               3º fung  soja 5.637                                        4º Fung soja 5.637   5°micro/ins                                      1º ins milho 3.678                                      2º ins milho 3.678                                  3º ins milho 3.678                                         4º fun milho 3.678                                 5º fun milho 3.678   6º ins milho 3.678      7° ins milho       8°ins  milho            Agroinvest= 5000 ha ,Agroservice                                   1º fung soja  5.637                                                2º fung soja 5.637                                               3º fung  soja 5.637                                        4º Fung soja 5.637   5°micro/ins                                      1º ins milho 3.678                                      2º ins milho 3.678                                  3º ins milho 3.678                                         4º fun milho 3.678                                 5º fun milho 3.678   6º ins milho 3.678      7° ins milho       8°ins  milho            Agroinvest= 5000 ha ,Agroservice algodão 22 aplicação inseticida total 5280 Há fugincida 6 aplicação total 1440Ha     Agroinvest = 6000 há ,3500  mix de cobertura  pivõ 10 aplicações =1600, 3 aplicações inseticida Safrinha 1500,,,AGROSERVICE   milho = 29424    soja=28.185    algodão=6.720    sorgo=1.500   pivô milho=1.600                 AGROINVEST=11.000             TOTAL=78.429,,,78429,,,,,,,,,Atendiemnto Angar Icaro (BSB),12,1500,,,,,,,,,,,,,,
Air tractor  B502,Area trabalhada,Há liquido 20,9600,22548,29933,12608,2240,1500,,,,,,,,,,,,,,,jeepson -Renovação assinatura garmim,1,6400,,,,Valor aquisição Meridian,3175000,,,,,,,,,
Air tractor  B502,Area trabalhada,,,,,,,,,,,,,,,,,,,,,,Revisoes/manutençoes,1,40000,,,,Agroservice 50%,,,,,,,,,,
Air tractor  B502,Area trabalhada,há solido,,,,,3500,,,,,40/h,,,500,20000,,,,,,,Angarage ,12,850,,,,,,,,,,,,,,
Air tractor  B502,Horas trabalhada,Hora,,,,,,,,,,,,,,,,,,,,,Piloto,13,9000,,,,,,,,,,,,,,
Air tractor  B502,Querosene,Lt,,,,,,,,,,,,,6,,,,,,,,Combustivel (querosene),12,5625,,,,,,,,,,,,,,
Air tractor  B502,Oleo Motor/turbina,Lt,,,,,,0,,,,,,,60,,,,,,,,Taxas Inframerica (pousos) + Decea (tarifa uso EP),12,920.84,,,,,,,,,,,,,,
Air tractor  B502,REVISÃO 100/Hr,,,,,,,,,,,,,1,6380,6380,,,,,,,,Total,,,,,,,,,,,,,,,
Air tractor  B502,REVISÃO 200/Hr,,,,,,,,,,,,,1,1540,1540,,,,,,,,,,,,,,,,,,,,,,,
Air tractor  B502,REVISÃO 300/Hr,,,,,,,,,,,,,1,9350,9350,,,,,,,,,,,,,,,,,,,,,,,
Air tractor  B502,TBO turbina,Und,,,,,,,1,,,,,1,1070000,,,,,,,,,,,,,,,,,,,,,,,,
Air tractor  B502,IAM,R$,,,,,,,1,,,,,,25000,,"Custo de peças durante as revisões de 100,200,300 horas",,,,,,,,,,,,,,,,,,,,,,
Air tractor  B502,Seguro reta,R$,,,,,,,1,,,,,,600,,,,,,,,,,,,,,,,,,,,,,,,
Air tractor  B502,Mão de obra manutenção,R$,,,,,,,1,,,,,,80000,,,,,,,,,,,,,,,,,,,,,,,,
Air tractor  B502,Peças revisão,R$,,,,,,,,,,,,1,50000,,,,,,,,,,,,,,,,,,,,,,,,
Air tractor  B502,Pneus dianteiro,Und,2,,,,,,,,,,,,7000,,,,,,,,,,,,,,,,,,,,,,,,
Air tractor  B502,Camara ar,Und,2,,,,,,,,,,,,1600,,revisão efetuada safra 23-24,revisão efetuada safra 23-24,revisão efetuada safra 23-24,,,,,,,,,,,,,,,,,,,,
Air tractor  B502,Pneu bequilha,Und,1,,,,,,,,,,,,1200,,,,,,,,,,,,,,,,,,,,,,,,
Air tractor  B502,Camara bequilha,Und,1,,,,,,,,,,,,550,,,,,,,,,,,,,,,,,,,,,,,,
Air tractor  B502,Revisao pós safra,,,,,,,,,,,,,1,150000,,,,,,,,,,,,,,,,,,,,,,,,
Air tractor  B502,Pastilha freio,Und,,,12,,,,24,,,,,,75,,,,,,,,,,,,,,,,,,,,,,,,
Air tractor  B502,Escova limpa sensor ,Und,,1,,1,,,,,,,,3,30,90,,,,,,,,,,,,,,,,,,,,,,,
Air tractor  B502,Filtro ar o par,Und,,2,2,2,,,,,,,,6,380,,,,,,,,,,,,,,,,,,,,,,,,
Air tractor  B502,Filtro combustivel,Und,1,,1,,,1,,,,,,,65,,,,,,,,,,,,,,,,,,,,,,,,
Air tractor  B502,Saco de estoupa,Und,1,,,,,,,,,,,,120,,,,,,,,,,,,,,,,,,,,,,,,
Air tractor  B502,Cera para brisa,Und,1,,,,,,,,,,,,230,,,,,,,,,,,,,,,,,,,,,,,,
Air tractor  B502,Reparos bomba solução,und,2,,,,,,,,,,,2,375,,,,,,,,,,,,,,,,,,,,,,,,
Air tractor  B502,conjunto de bicos cp 11tt,und,42,,,,,,,,,,,42,521.38,,,,,,,,,,,,,,,,,,,,,,,,
Air tractor  B502,bomba eólica ,und,1,,,,,,,,,,,1,7156.59,,,,,,,,,,,,,,,,,,,,,,,,
Air tractor  B502,funil inox duas curvas,und,1,,,,,,,,,,,,65,,,,,,,,,,,,,,,,,,,,,,,,
Air tractor  B502,Detergente neutro,Und,36,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,
Acessorios de aplicação,Mangueira 3 pol,mt,20,,,,,,,,,,,,75,,,,,,,,,,,,,,,,,,,,,,,,
Acessorios de aplicação,Engate rapido 3 Pol,Und,4,,,,,,,,,,,,160,,,,,,,,,,,,,,,,,,,,,,,,
Acessorios de aplicação,CADEADO ,Und,1,,,,,,,,,,,1,45,45,,,,,,,,,,,,,,,,,,,,,,,
Acessorios de aplicação,Registro 3 pol,Und,2,,,,,,,,,,,,600,,,,,,,,,,,,,,,,,,,,,,,,
Acessorios de aplicação,Mangueira 3 pol flexivel,Mt,30,,,,,,,,,,,,60,,,,,,,,,,,,,,,,,,,,,,,,
Acessorios de aplicação,Garrafa termica 3 lt,Und,2,,,,,,,,,,,,60,,,,,,,,,,,,,,,,,,,,,,,,
Acessorios de aplicação,Balde dosador  20 lt,Und,4,,,,,,,,,,,,175,,,,,,,,,,,,,,,,,,,,,,,,
Acessorios de aplicação,Balde dosador  10 lt,Und,2,,,,,,,,,,,,75,,,,,,,,,,,,,,,,,,,,,,,,
Acessorios de aplicação,Registro 2pol,Und,4,,,,,,,,,,,,230,,,,,,,,,,,,,,,,,,,,,,,,
Acessorios de aplicação,Mangueira 2 pol,Mt,10,,,,,,,,,,,,25,,,,,,,,,,,,,,,,,,,,,,,,
Acessorios de aplicação,Magueira  1Pol,Mt,15,,,,,,,,,,,,25,,,,,,,,,,,,,,,,,,,,,,,,
Acessorios de aplicação,Registro 1 pol,Und,4,,,,,,,,,,,,120,,,,,,,,,,,,,,,,,,,,,,,,
Acessorios de aplicação,Pincel para quadro branco,uind,8,,,,,,,,,,,,8.9,,,,,,,,,,,,,,,,,,,,,,,,
Acessorios de aplicação,Caixa caneta bic,uind,1,,,,,,,,,,,,32,,,,,,,,,,,,,,,,,,,,,,,,
Acessorios de aplicação,Canivete ,Und,3,,,,,,,,,,,,20,,,,,,,,,,,,,,,,,,,,,,,,
Acessorios de aplicação,Bateria 150 amperes,Und,2,,,,,,,,,,,2,1000,,,,,,,,,,,,,,,,,,,,,,,,
Acessorios de aplicação,Pre mistura 800L,UND,1,,,,,,,,,,,,12000,,,,,,,,,,,,,,,,,,,,,,,,
Acessorios de aplicação,Moto bomba 2 tempo,UND,1,,,,,,,,,,,1,1400,,,,,,,,,,,,,,,,,,,,,,,,
Acessorios de aplicação,1 moto bomba,Und,1,,,,,,,,,,,1,4000,4000,,,,,,,,,,,,,,,,,,,,,,,
F4000 simples,Area trabalhada,Km,5000,6000,6000,6000,6000,4000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
F4000 simples,Dissell,Lt,,,,,,,,,,,,,5.8,,,,,,,,,,,,,,,,,,,,,,,,
F4000 simples,Oleo 15w40 Motor,Lt,10,3,10,3,10,,,,,,,,25,,,,,,,,,,,,,,,,,,,,,,,,
F4000 simples,Oleo 15w40 Transmisão,Lt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
F4000 simples,Graxa,Kg,5,5,5,5,5,5,,,,,,,40,,,,,,,,,,,,,,,,,,,,,,,,
F4000 simples,Manguiera 1 pol gasolina,Mt,10,,,,,,,,,,,,70,,,,,,,,,,,,,,,,,,,,,,,,
F4000 simples,Bomba abastecimento,Und,1,,,,,,,,,,,,1500,,,,,,,,,,,,,,,,,,,,,,,,
F4000 simples,Pistola de Abastecimento,Und,1,,,,,,,,,,,,160,,,,,,,,,,,,,,,,,,,,,,,,
F4000 simples,Bateria 150 amperes,Und,2,,,,,,,,,,,,1500,,,,,,,,,,,,,,,,,,,,,,,,
F4000 simples,filtro de querosene,unid,2,2,2,2,,,,,,,,,25,,,,,,,,,,,,,,,,,,,,,,,,
F4000 simples,bomba para graxa manual 7kg,R$,1,,,,,,,,,,,1,499,499,,,,,,,,,,,,,,,,,,,,,,,
Enpilhadeira,Gas,Und,1,2,1,1,,,,,,,,,250,,,,,,,,,,,,,,,,,,,,,,,,
Equipe,Papel sensível,Pac,1,,,,,,,,,,,,280,,,,,,,,,,,,,,,,,,,,,,,,
Equipe,Facao,und,2,,,,,,,,,,,2,45,,,,,,,,,,,,,,,,,,,,,,,,
Equipe,Papel medir ph,Pac,2,,,,,,,,,,,,100,,,,,,,,,,,,,,,,,,,,,,,,
Funcionarios Salarios,Vagner vazao 20,R$,,,,,,,,,,,,87736,4.2,,,,,,,,,,,,,,,,,,,,,,,,
Funcionarios Salarios,Vagner vazao 30,R$,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Funcionarios Salarios,Vagner solidos,R$,,,,,,,,,,,,40/H,500,20000,,,,,,,,,,,,,,,,,,,,,,,
Funcionarios Salarios,TECNICO dosador,R$,1,1,1,1,1,1,1,1,,,,,3000,,,,,,,,,,,,,,,,,,,,,,,,
Funcionarios Salarios,dosador ,R$,1,1,1,1,1,1,1,,,,,,2500,,,,,,,,,,,,,,,,,,,,,,,,
Salarios horas extras 50%,dosador 1 ,R$,0,48,48,48,30,20,10,,,,,,20.45,,,,,,,,,,,,,,,,,,,,,,,,
Salarios horas extras 50%,Ivanilson,R$,,48,48,48,30,20,10,,,,,,17,,,,,,,,,,,,,,,,,,,,,,,,
Hora extra 100%,dosador 1 ,,,40,40,20,,,,,,,,,27.27,,,,,,,,,,,,,,,,,,,,,,,,
Hora extra 100%,Ivanilson,,,40,40,20,,,,,,,,,22.72,,,,,,,,,,,,,,,,,,,,,,,,
Periculosidade,dosador 1 ,,1,1,1,1,1,1,1,1,,,,,900,,,,,,,,,,,,,,,,,,,,,,,,
Periculosidade,Ivanilson,,1,1,1,1,1,1,1,,,,,,720,,,,,,,,,,,,,,,,,,,,,,,,
Uniforme Aplicação,AVIÃO,Desc.,Conj Aplic,Luva Cano C,Luva Cano L,Mascarra 3m,Filtro,Oculos Escuro,Bota Borr,kit 2ª pele,toalha,Avental,sabonete,meia,,,,,,,,,,,,,,,,,,,,,,,,,
Uniforme Aplicação,Vagner,Und,3,0,0,1,2,0,0,3,1,,5,,,,,,,,,,,,,,,,,,,,,,,,,,
Uniforme Aplicação,A contratar,Und,10,5,15,1,5,2,1,3,1,2,5,3,,,,,,,,,,,,,,,,,,,,,,,,,
Uniforme Aplicação,A contratar,Und,10,5,15,2,5,2,1,3,1,2,5,3,,,,,,,,,,,,,,,,,,,,,,,,,
Uniforme Aplicação,Total,Und,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Uniforme Aplicação,Total R$,R$,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Uniforme ,AVIÃO,Desc.,Conj. Calça/camisa,Luva Pano,Luva vaqueta,Prot. Auricula plug,Prot auricular concha,Mascara PFS1,Botina,toca arrabe,Garrafa,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Uniforme ,VAGNER,Unid,3,0,0,4,1,20,2,1,1,,5,,,,,,,,,,,,,,,,,,,,,,,,,,
Uniforme ,a contratar,Unid,3,3,1,2,1,10,2,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Uniforme ,A contratar,Unid,3,3,1,2,1,10,2,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Uniforme ,Total,Unid,,,,,,,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,
Uniforme ,Total R$,R$,,,,,,,,,,,10,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total,,,,,,,,,,,,,,,Total AIR TRACTOR,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,TOTAL ,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,Ceneca (8 h de voo),,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,Agroservice ,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,Agroinvest,,,,,,,,,,,,,,,,,,,,,,,,
