10/17/2025,10/17/2025,10/17/2025,10/17/2025,Agroinvest Ltda,Agroinvest Ltda,Agroinvest Ltda,Agroinvest Ltda,Agroinvest Ltda,Agroinvest Ltda,Agroinvest Ltda,,,,,,,,,,
Esteira 1 Totals,Esteira 1 Totals,Esteira 1 Totals,Esteira 1 Totals,Esteira 1 Totals,Esteira 1 Totals,Esteira 1 Totals,Esteira 1 Totals,27565.34,0,27565.34,27565.34,,,,,,1149,1149,,
,,Esteira 2,Esteira 2,Esteira 2,Esteira 2,Esteira 2,Esteira 2,Esteira 2,Esteira 2,Esteira 2,Esteira 2,Esteira 2,,,,,,,,
,,,2024-12-31 00:00:00,2024-12-31 00:00:00, Beg Bal,,,45076.94,0,45076.94,45076.94,,,,,,,,,
Esteira 2 Totals,Esteira 2 Totals,Esteira 2 Totals,Esteira 2 Totals,Esteira 2 Totals,Esteira 2 Totals,Esteira 2 Totals,Esteira 2 Totals,45076.94,0,45076.94,45076.94,,,,,,1878,1878,,
,,Esteira 3,Esteira 3,Esteira 3,Esteira 3,Esteira 3,Esteira 3,Esteira 3,Esteira 3,Esteira 3,Esteira 3,Esteira 3,,,,,,,,
,,,2024-12-31 00:00:00,2024-12-31 00:00:00, Beg Bal,,,3010.97,0,3010.97,3010.97,,,,,,,,,
Esteira 3 Totals,Esteira 3 Totals,Esteira 3 Totals,Esteira 3 Totals,Esteira 3 Totals,Esteira 3 Totals,Esteira 3 Totals,Esteira 3 Totals,3010.97,0,3010.97,3010.97,,,,,,125,125,,
,,Extratora Silobolsa Outgrain22,Extratora Silobolsa Outgrain22,Extratora Silobolsa Outgrain22,Extratora Silobolsa Outgrain22,Extratora Silobolsa Outgrain22,Extratora Silobolsa Outgrain22,Extratora Silobolsa Outgrain22,Extratora Silobolsa Outgrain22,Extratora Silobolsa Outgrain22,Extratora Silobolsa Outgrain22,Extratora Silobolsa Outgrain22,,,,,,,,
,,,2024-12-31 00:00:00,2024-12-31 00:00:00, Beg Bal,,,100000,0,100000,100000,,,,,,,,,
Extratora Silobolsa Outgrain22 Totals,Extratora Silobolsa Outgrain22 Totals,Extratora Silobolsa Outgrain22 Totals,Extratora Silobolsa Outgrain22 Totals,Extratora Silobolsa Outgrain22 Totals,Extratora Silobolsa Outgrain22 Totals,Extratora Silobolsa Outgrain22 Totals,Extratora Silobolsa Outgrain22 Totals,100000,0,100000,100000,,,,100000,90000,,,,
,,F4000 2009 Branca JSA 0223,F4000 2009 Branca JSA 0223,F4000 2009 Branca JSA 0223,F4000 2009 Branca JSA 0223,F4000 2009 Branca JSA 0223,F4000 2009 Branca JSA 0223,F4000 2009 Branca JSA 0223,F4000 2009 Branca JSA 0223,F4000 2009 Branca JSA 0223,F4000 2009 Branca JSA 0223,F4000 2009 Branca JSA 0223,,,,,,,,
,,,2024-12-31 00:00:00,2024-12-31 00:00:00, Beg Bal,,,30000,0,30000,30000,,,,,,,,,
F4000 2009 Branca JSA 0223 Totals,F4000 2009 Branca JSA 0223 Totals,F4000 2009 Branca JSA 0223 Totals,F4000 2009 Branca JSA 0223 Totals,F4000 2009 Branca JSA 0223 Totals,F4000 2009 Branca JSA 0223 Totals,F4000 2009 Branca JSA 0223 Totals,F4000 2009 Branca JSA 0223 Totals,30000,0,30000,30000,,,,30000,30000,,,,
,,Fertilizer & Seed Filler,Fertilizer & Seed Filler,Fertilizer & Seed Filler,Fertilizer & Seed Filler,Fertilizer & Seed Filler,Fertilizer & Seed Filler,Fertilizer & Seed Filler,Fertilizer & Seed Filler,Fertilizer & Seed Filler,Fertilizer & Seed Filler,Fertilizer & Seed Filler,,,,,,,,
,,,2024-12-31 00:00:00,2024-12-31 00:00:00, Beg Bal,,,22000,0,22000,22000,,,,,,,,,
Fertilizer & Seed Filler Totals,Fertilizer & Seed Filler Totals,Fertilizer & Seed Filler Totals,Fertilizer & Seed Filler Totals,Fertilizer & Seed Filler Totals,Fertilizer & Seed Filler Totals,Fertilizer & Seed Filler Totals,Fertilizer & Seed Filler Totals,22000,0,22000,22000,,,,22000,20000,,,,
,,Fiat Strada Hard Working 1.4,Fiat Strada Hard Working 1.4,Fiat Strada Hard Working 1.4,Fiat Strada Hard Working 1.4,Fiat Strada Hard Working 1.4,Fiat Strada Hard Working 1.4,Fiat Strada Hard Working 1.4,Fiat Strada Hard Working 1.4,Fiat Strada Hard Working 1.4,Fiat Strada Hard Working 1.4,Fiat Strada Hard Working 1.4,,,,,,,,
,,,2024-12-31 00:00:00,2024-12-31 00:00:00, Beg Bal,,,33000,0,33000,33000,,,,,,,,,
Fiat Strada Hard Working 1.4 Totals,Fiat Strada Hard Working 1.4 Totals,Fiat Strada Hard Working 1.4 Totals,Fiat Strada Hard Working 1.4 Totals,Fiat Strada Hard Working 1.4 Totals,Fiat Strada Hard Working 1.4 Totals,Fiat Strada Hard Working 1.4 Totals,Fiat Strada Hard Working 1.4 Totals,33000,0,33000,33000,,,,33000,30000,,,,
,,Ford Cargo 2007,Ford Cargo 2007,Ford Cargo 2007,Ford Cargo 2007,Ford Cargo 2007,Ford Cargo 2007,Ford Cargo 2007,Ford Cargo 2007,Ford Cargo 2007,Ford Cargo 2007,Ford Cargo 2007,,,,,,,,
,,,2024-12-31 00:00:00,2024-12-31 00:00:00, Beg Bal,,,30000,0,30000,30000,,,,,,,,,
Ford Cargo 2007 Totals,Ford Cargo 2007 Totals,Ford Cargo 2007 Totals,Ford Cargo 2007 Totals,Ford Cargo 2007 Totals,Ford Cargo 2007 Totals,Ford Cargo 2007 Totals,Ford Cargo 2007 Totals,30000,0,30000,30000,,,,30000,30000,,,,
,,Gerador Caterpillar,Gerador Caterpillar,Gerador Caterpillar,Gerador Caterpillar,Gerador Caterpillar,Gerador Caterpillar,Gerador Caterpillar,Gerador Caterpillar,Gerador Caterpillar,Gerador Caterpillar,Gerador Caterpillar,,,,,,,,
,,,2024-12-31 00:00:00,2024-12-31 00:00:00, Beg Bal,,,38000,0,38000,38000,,,,,,,,,
Gerador Caterpillar Totals,Gerador Caterpillar Totals,Gerador Caterpillar Totals,Gerador Caterpillar Totals,Gerador Caterpillar Totals,Gerador Caterpillar Totals,Gerador Caterpillar Totals,Gerador Caterpillar Totals,38000,0,38000,38000,,,,38000,35000,,,,
,,Grain Bin 1,Grain Bin 1,Grain Bin 1,Grain Bin 1,Grain Bin 1,Grain Bin 1,Grain Bin 1,Grain Bin 1,Grain Bin 1,Grain Bin 1,Grain Bin 1,,,,,,,,
,,,2024-12-31 00:00:00,2024-12-31 00:00:00, Beg Bal,,,570567.48,0,570567.48,570567.48,,,,,,,,,
Grain Bin 1 Totals,Grain Bin 1 Totals,Grain Bin 1 Totals,Grain Bin 1 Totals,Grain Bin 1 Totals,Grain Bin 1 Totals,Grain Bin 1 Totals,Grain Bin 1 Totals,570567.48,0,570567.48,570567.48,,,,,,23774,23774,,
,,Grain Bin 2,Grain Bin 2,Grain Bin 2,Grain Bin 2,Grain Bin 2,Grain Bin 2,Grain Bin 2,Grain Bin 2,Grain Bin 2,Grain Bin 2,Grain Bin 2,,,,,,,,
,,,2024-12-31 00:00:00,2024-12-31 00:00:00, Beg Bal,,,570567.48,0,570567.48,570567.48,,,,,,,,,
Grain Bin 2 Totals,Grain Bin 2 Totals,Grain Bin 2 Totals,Grain Bin 2 Totals,Grain Bin 2 Totals,Grain Bin 2 Totals,Grain Bin 2 Totals,Grain Bin 2 Totals,570567.48,0,570567.48,570567.48,,,,,,23774,23774,,
,,Grain Cleaner,Grain Cleaner,Grain Cleaner,Grain Cleaner,Grain Cleaner,Grain Cleaner,Grain Cleaner,Grain Cleaner,Grain Cleaner,Grain Cleaner,Grain Cleaner,,,,,,,,
,,,2024-12-31 00:00:00,2024-12-31 00:00:00, Beg Bal,,,121118.78,0,121118.78,121118.78,,,,,,,,,
Grain Cleaner Totals,Grain Cleaner Totals,Grain Cleaner Totals,Grain Cleaner Totals,Grain Cleaner Totals,Grain Cleaner Totals,Grain Cleaner Totals,Grain Cleaner Totals,121118.78,0,121118.78,121118.78,,,,,,5047,5047,,
,,Grain Dryer,Grain Dryer,Grain Dryer,Grain Dryer,Grain Dryer,Grain Dryer,Grain Dryer,Grain Dryer,Grain Dryer,Grain Dryer,Grain Dryer,,,,,,,,
,,,2024-12-31 00:00:00,2024-12-31 00:00:00, Beg Bal,,,253923.36,0,253923.36,253923.36,,,,,,,,,
Grain Dryer Totals,Grain Dryer Totals,Grain Dryer Totals,Grain Dryer Totals,Grain Dryer Totals,Grain Dryer Totals,Grain Dryer Totals,Grain Dryer Totals,253923.36,0,253923.36,253923.36,,,,,,10580,10580,,
,,JD 4030 ano 2021,JD 4030 ano 2021,JD 4030 ano 2021,JD 4030 ano 2021,JD 4030 ano 2021,JD 4030 ano 2021,JD 4030 ano 2021,JD 4030 ano 2021,JD 4030 ano 2021,JD 4030 ano 2021,JD 4030 ano 2021,,,,,,,,
,,,2024-12-31 00:00:00,2024-12-31 00:00:00, Beg Bal,,,1200000,0,1200000,1200000,,,,,,,,,
JD 4030 ano 2021 Totals,JD 4030 ano 2021 Totals,JD 4030 ano 2021 Totals,JD 4030 ano 2021 Totals,JD 4030 ano 2021 Totals,JD 4030 ano 2021 Totals,JD 4030 ano 2021 Totals,JD 4030 ano 2021 Totals,1200000,0,1200000,1200000,,,,1200000,900000,,,,
,,JD 5403 ano 2008,JD 5403 ano 2008,JD 5403 ano 2008,JD 5403 ano 2008,JD 5403 ano 2008,JD 5403 ano 2008,JD 5403 ano 2008,JD 5403 ano 2008,JD 5403 ano 2008,JD 5403 ano 2008,JD 5403 ano 2008,,,,,,,,
,,,2024-12-31 00:00:00,2024-12-31 00:00:00, Beg Bal,,,25000,0,25000,25000,,,,,,,,,
JD 5403 ano 2008 Totals,JD 5403 ano 2008 Totals,JD 5403 ano 2008 Totals,JD 5403 ano 2008 Totals,JD 5403 ano 2008 Totals,JD 5403 ano 2008 Totals,JD 5403 ano 2008 Totals,JD 5403 ano 2008 Totals,25000,0,25000,25000,,,,25000,25000,,,,
,,JD 8335R ano 2014,JD 8335R ano 2014,JD 8335R ano 2014,JD 8335R ano 2014,JD 8335R ano 2014,JD 8335R ano 2014,JD 8335R ano 2014,JD 8335R ano 2014,JD 8335R ano 2014,JD 8335R ano 2014,JD 8335R ano 2014,,,,,,,,
,,,2024-12-31 00:00:00,2024-12-31 00:00:00, Beg Bal,,,380000,0,380000,380000,,,,,,,,,
JD 8335R ano 2014 Totals,JD 8335R ano 2014 Totals,JD 8335R ano 2014 Totals,JD 8335R ano 2014 Totals,JD 8335R ano 2014 Totals,JD 8335R ano 2014 Totals,JD 8335R ano 2014 Totals,JD 8335R ano 2014 Totals,380000,0,380000,380000,,,,380000,380000,,,,
,,JD 8370R ano 2019,JD 8370R ano 2019,JD 8370R ano 2019,JD 8370R ano 2019,JD 8370R ano 2019,JD 8370R ano 2019,JD 8370R ano 2019,JD 8370R ano 2019,JD 8370R ano 2019,JD 8370R ano 2019,JD 8370R ano 2019,,,,,,,,
,,,2024-12-31 00:00:00,2024-12-31 00:00:00, Beg Bal,,,970000,0,970000,970000,,,,,,,,,
JD 8370R ano 2019 Totals,JD 8370R ano 2019 Totals,JD 8370R ano 2019 Totals,JD 8370R ano 2019 Totals,JD 8370R ano 2019 Totals,JD 8370R ano 2019 Totals,JD 8370R ano 2019 Totals,JD 8370R ano 2019 Totals,970000,0,970000,970000,,,,970000,970000,,,,
,,JD Plantadeira 20 Linhas C Kit,JD Plantadeira 20 Linhas C Kit,JD Plantadeira 20 Linhas C Kit,JD Plantadeira 20 Linhas C Kit,JD Plantadeira 20 Linhas C Kit,JD Plantadeira 20 Linhas C Kit,JD Plantadeira 20 Linhas C Kit,JD Plantadeira 20 Linhas C Kit,JD Plantadeira 20 Linhas C Kit,JD Plantadeira 20 Linhas C Kit,JD Plantadeira 20 Linhas C Kit,,,,,,,,
,,,2024-12-31 00:00:00,2024-12-31 00:00:00, Beg Bal,,,689480.2,0,689480.2,689480.2,,,,,,,,,
JD Plantadeira 20 Linhas C Kit Totals,JD Plantadeira 20 Linhas C Kit Totals,JD Plantadeira 20 Linhas C Kit Totals,JD Plantadeira 20 Linhas C Kit Totals,JD Plantadeira 20 Linhas C Kit Totals,JD Plantadeira 20 Linhas C Kit Totals,JD Plantadeira 20 Linhas C Kit Totals,JD Plantadeira 20 Linhas C Kit Totals,689480.2,0,689480.2,689480.2,,,,732720.55,700000,,,,
,,Mobile Cafeteria,Mobile Cafeteria,Mobile Cafeteria,Mobile Cafeteria,Mobile Cafeteria,Mobile Cafeteria,Mobile Cafeteria,Mobile Cafeteria,Mobile Cafeteria,Mobile Cafeteria,Mobile Cafeteria,,,,,,,,
,,,2024-12-31 00:00:00,2024-12-31 00:00:00, Beg Bal,,,15000,0,15000,15000,,,,,,,,,
Mobile Cafeteria Totals,Mobile Cafeteria Totals,Mobile Cafeteria Totals,Mobile Cafeteria Totals,Mobile Cafeteria Totals,Mobile Cafeteria Totals,Mobile Cafeteria Totals,Mobile Cafeteria Totals,15000,0,15000,15000,,,,15000,13500,,,,
,,Mobile Generator,Mobile Generator,Mobile Generator,Mobile Generator,Mobile Generator,Mobile Generator,Mobile Generator,Mobile Generator,Mobile Generator,Mobile Generator,Mobile Generator,,,,,,,,
,,,2024-12-31 00:00:00,2024-12-31 00:00:00, Beg Bal,,,12000,0,12000,12000,,,,,,,,,
Mobile Generator Totals,Mobile Generator Totals,Mobile Generator Totals,Mobile Generator Totals,Mobile Generator Totals,Mobile Generator Totals,Mobile Generator Totals,Mobile Generator Totals,12000,0,12000,12000,,,,12000,12000,,,,
,,Overhead Walkway,Overhead Walkway,Overhead Walkway,Overhead Walkway,Overhead Walkway,Overhead Walkway,Overhead Walkway,Overhead Walkway,Overhead Walkway,Overhead Walkway,Overhead Walkway,,,,,,,,
,,,2024-12-31 00:00:00,2024-12-31 00:00:00, Beg Bal,,,30443.54,0,30443.54,30443.54,,,,,,,,,
Overhead Walkway Totals,Overhead Walkway Totals,Overhead Walkway Totals,Overhead Walkway Totals,Overhead Walkway Totals,Overhead Walkway Totals,Overhead Walkway Totals,Overhead Walkway Totals,30443.54,0,30443.54,30443.54,,,,,,1269,1269,,
,,Pá Carregadeira XCMG 2024,Pá Carregadeira XCMG 2024,Pá Carregadeira XCMG 2024,Pá Carregadeira XCMG 2024,Pá Carregadeira XCMG 2024,Pá Carregadeira XCMG 2024,Pá Carregadeira XCMG 2024,Pá Carregadeira XCMG 2024,Pá Carregadeira XCMG 2024,Pá Carregadeira XCMG 2024,Pá Carregadeira XCMG 2024,,,,,,,,
,,,2024-12-31 00:00:00,2024-12-31 00:00:00, Beg Bal,,,460000,0,460000,460000,,,,,,,,,
Pá Carregadeira XCMG 2024 Totals,Pá Carregadeira XCMG 2024 Totals,Pá Carregadeira XCMG 2024 Totals,Pá Carregadeira XCMG 2024 Totals,Pá Carregadeira XCMG 2024 Totals,Pá Carregadeira XCMG 2024 Totals,Pá Carregadeira XCMG 2024 Totals,Pá Carregadeira XCMG 2024 Totals,460000,0,460000,460000,,,,460000,420000,,,,
,,Pulverizador SafraJet Hidrauli,Pulverizador SafraJet Hidrauli,Pulverizador SafraJet Hidrauli,Pulverizador SafraJet Hidrauli,Pulverizador SafraJet Hidrauli,Pulverizador SafraJet Hidrauli,Pulverizador SafraJet Hidrauli,Pulverizador SafraJet Hidrauli,Pulverizador SafraJet Hidrauli,Pulverizador SafraJet Hidrauli,Pulverizador SafraJet Hidrauli,,,,,,,,
,,,2024-12-31 00:00:00,2024-12-31 00:00:00, Beg Bal,,,70000,0,70000,70000,,,,,,,,,
Pulverizador SafraJet Hidrauli Totals,Pulverizador SafraJet Hidrauli Totals,Pulverizador SafraJet Hidrauli Totals,Pulverizador SafraJet Hidrauli Totals,Pulverizador SafraJet Hidrauli Totals,Pulverizador SafraJet Hidrauli Totals,Pulverizador SafraJet Hidrauli Totals,Pulverizador SafraJet Hidrauli Totals,70000,0,70000,70000,,,,70000,63000,,,,
,,Scale 18 m,Scale 18 m,Scale 18 m,Scale 18 m,Scale 18 m,Scale 18 m,Scale 18 m,Scale 18 m,Scale 18 m,Scale 18 m,Scale 18 m,,,,,,,,
,,,2024-12-31 00:00:00,2024-12-31 00:00:00, Beg Bal,,,76800,0,76800,76800,,,,,,,,,
Scale 18 m Totals,Scale 18 m Totals,Scale 18 m Totals,Scale 18 m Totals,Scale 18 m Totals,Scale 18 m Totals,Scale 18 m Totals,Scale 18 m Totals,76800,0,76800,76800,,,,,,3200,3200,,
,,Scale 30 m,Scale 30 m,Scale 30 m,Scale 30 m,Scale 30 m,Scale 30 m,Scale 30 m,Scale 30 m,Scale 30 m,Scale 30 m,Scale 30 m,,,,,,,,
,,,2024-12-31 00:00:00,2024-12-31 00:00:00, Beg Bal,,,144000,0,144000,144000,,,,,,,,,
Scale 30 m Totals,Scale 30 m Totals,Scale 30 m Totals,Scale 30 m Totals,Scale 30 m Totals,Scale 30 m Totals,Scale 30 m Totals,Scale 30 m Totals,144000,0,144000,144000,,,,,,6000,6000,,
,,Seed Treatment Machine,Seed Treatment Machine,Seed Treatment Machine,Seed Treatment Machine,Seed Treatment Machine,Seed Treatment Machine,Seed Treatment Machine,Seed Treatment Machine,Seed Treatment Machine,Seed Treatment Machine,Seed Treatment Machine,,,,,,,,
,,,2024-12-31 00:00:00,2024-12-31 00:00:00, Beg Bal,,,50000,0,50000,50000,,,,,,,,,
Seed Treatment Machine Totals,Seed Treatment Machine Totals,Seed Treatment Machine Totals,Seed Treatment Machine Totals,Seed Treatment Machine Totals,Seed Treatment Machine Totals,Seed Treatment Machine Totals,Seed Treatment Machine Totals,50000,0,50000,50000,,,,50000,45000,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,total Centerpoint,
,,,,,,,,,,,,,,,Depr. Orçamento 25-26,,,,,
,,,,,,,,,,,,,,,Estruturas,,,,,
Report Options,Report Options,Report Options,Report Options,Report Options,Report Options,Report Options,Report Options,Report Options,Report Options,Report Options,Report Options,Report Options,,,Equipamentos com taxa fixa,,,,,
Company: Agroinvest Ltda,Company: Agroinvest Ltda,Company: Agroinvest Ltda,Company: Agroinvest Ltda,Company: Agroinvest Ltda,Company: Agroinvest Ltda,Company: Agroinvest Ltda,Company: Agroinvest Ltda,Company: Agroinvest Ltda,Company: Agroinvest Ltda,Company: Agroinvest Ltda,Company: Agroinvest Ltda,Company: Agroinvest Ltda,,,Equipamento valor mercado,,,,,
Trans Date: 1/1/2025 to 12/31/2025,Trans Date: 1/1/2025 to 12/31/2025,Trans Date: 1/1/2025 to 12/31/2025,Trans Date: 1/1/2025 to 12/31/2025,Trans Date: 1/1/2025 to 12/31/2025,Trans Date: 1/1/2025 to 12/31/2025,Trans Date: 1/1/2025 to 12/31/2025,Trans Date: 1/1/2025 to 12/31/2025,Trans Date: 1/1/2025 to 12/31/2025,Trans Date: 1/1/2025 to 12/31/2025,Trans Date: 1/1/2025 to 12/31/2025,Trans Date: 1/1/2025 to 12/31/2025,Trans Date: 1/1/2025 to 12/31/2025,,,TOTAL,,,,,
Display Beginning Balances: Yes,Display Beginning Balances: Yes,Display Beginning Balances: Yes,Display Beginning Balances: Yes,Display Beginning Balances: Yes,Display Beginning Balances: Yes,Display Beginning Balances: Yes,Display Beginning Balances: Yes,Display Beginning Balances: Yes,Display Beginning Balances: Yes,Display Beginning Balances: Yes,Display Beginning Balances: Yes,Display Beginning Balances: Yes,,,,,,,,
Display Depreciation: Yes,Display Depreciation: Yes,Display Depreciation: Yes,Display Depreciation: Yes,Display Depreciation: Yes,Display Depreciation: Yes,Display Depreciation: Yes,Display Depreciation: Yes,Display Depreciation: Yes,Display Depreciation: Yes,Display Depreciation: Yes,Display Depreciation: Yes,Display Depreciation: Yes,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,Depr. Orçamento 24-25 ATUAL,,,,,
,,,,,,,,,,,,,,,Estruturas,517299,,,,
,,,,,,,,,,,,,,,Equipamentos com taxa fixa,119217,,,,
,,,,,,,,,,,,,,,Equipamentos valor mercado,,,,,
,,,,,,,,,,,,,,,total atual 24-25,,,,,
